Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Philipp,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Philipp,,to create
Kamin,5,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kamin,,to create
Ghadaffi grüsst Kreisky,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Ghadaffi grüsst Kreisky,,to create
Radarfalle,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Radarfalle,,to create
Torturplatte,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Torturplatte,,to create
Jagasimmerl,7-,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Jagasimmerl,,to create
Inox,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Inox,,to create
Var (Inox),7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Var (Inox),,to create
Alles ist möglich,8 A0,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Alles ist möglich,,to create
Köpek,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Köpek,,to create
Husch Husch ins Körbchen,7,5-7,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Husch Husch ins Körbchen,,to create
Schneebergblick,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schneebergblick,,to create
Hausstein Eins,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Eins,,to create
Schwammerldirettissima,,,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schwammerldirettissima,,to create
Hausstein Zwei,9+/10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Zwei,,to create
Angriff RRT,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Angriff RRT,,to create
Kerzlschlicka,9-,8-11,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kerzlschlicka,,to create
The Going Gong of Laddio Bolocko,,,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | The Going Gong of Laddio Bolocko,,to create
Epic Problem,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Epic Problem,,to create
Fanfare for Effective Freedom,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Fanfare for Effective Freedom,,to create
Ich möcht alt sein mit einem Krückstock,7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Ich möcht alt sein mit einem Krückstock,,to create
Da Wuchtldrucka,9-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Da Wuchtldrucka,,to create
Fledermausdach,8+,8-11,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Fledermausdach,,to create
Anarchists Just Wanna Have Fun,9+/10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Anarchists Just Wanna Have Fun,,to create
Favete Linguis,9,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Favete Linguis,,to create
Irrsinnsdimensionen,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Irrsinnsdimensionen,,to create
Hausstein Drei,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Drei,,to create
Schneeglöckchen,11-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schneeglöckchen,,to create
Arsch im Raum der Zeit,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Arsch im Raum der Zeit,,to create
Das Heulen des Gösing-Wolfes,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Das Heulen des Gösing-Wolfes,,to create
Die ultimativen Bewegungen,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Die ultimativen Bewegungen,,to create
Goat Lips,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Goat Lips,,to create
Dach überm Kopf,7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Dach überm Kopf,,to create
La Tirania de la Tradicion,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | La Tirania de la Tradicion,,to create
Meine Hawara san Echsen-Menschen,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Meine Hawara san Echsen-Menschen,,to create
The Exclusive Character of Victory,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | The Exclusive Character of Victory,,to create
La Zampa del Mago,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | La Zampa del Mago,,to create
Wolf Like Me,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Wolf Like Me,,to create
Patagonia,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Patagonia,,to create
Kühlschrankkante,8/8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kühlschrankkante,,to create
Direkte Haussteinkante,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Direkte Haussteinkante,,to create
Amerikanerweg,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Amerikanerweg,,to create
Der einbrennte Hund,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Der einbrennte Hund,,to create
Schankholz,9/9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schankholz,,to create
Mostschank Wöber,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Mostschank Wöber,,to create
There Is No 666 in Outta Space,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | There Is No 666 in Outta Space,,to create
Santa Sangre,9,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Santa Sangre,,to create
Thats Not Me,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Thats Not Me,,to create
Napoleon Solo This Is Forever,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Napoleon Solo This Is Forever,,to create
Spenglerverschneidung,5+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Spenglerverschneidung,,to create
Spenglerriss,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Spenglerriss,,to create
Resls Riss,6,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Resls Riss,,to create
Happy Haki Hour,6+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Happy Haki Hour,,to create
Herbert West,7/7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Herbert West,,to create
Baumblade,7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Baumblade,,to create
Wachablöse,7+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Wachablöse,,to create
Fluchtburg,7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Fluchtburg,,to create
Undercover Raxfreaks,8-/8,8-11,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Undercover Raxfreaks,,to create
Karnergeist,6,5-7,multipitch,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Karnergeist,,to create
Swäg Bua Nr 18,,,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Swäg Bua Nr 18,,to create
Visionär mit Erdbeeraugen,,,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Visionär mit Erdbeeraugen,,to create
Sonnenbrand,5-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Sonnenbrand,,to create
Der billige Jakob,4-,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Der billige Jakob,,to create
Miraplatte,4+,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Miraplatte,,to create
Miraverschneidung,5,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Miraverschneidung,,to create
E-Var,4,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | E-Var,,to create
Endlich Hocknstad,7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Endlich Hocknstad,,to create
Abschied von Pernitz,7+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Abschied von Pernitz,,to create
Kinderversteck,6,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Kinderversteck,,to create
Neuer Wein,6+/7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Neuer Wein,,to create
Bier am AMS,5+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Bier am AMS,,to create
Sepp Mayerl Gedächtnisführe,7-,5-7,multipitch,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Sepp Mayerl Gedächtnisführe,,to create
"I'm God, Like Lil B",,,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,"Hohe Wand | Haussteinmugal | I'm God, Like Lil B",,to create
Runse,6-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Runse,,to create
Stille Wasser,6+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Stille Wasser,,to create
Ausstieg,5-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Ausstieg,,to create
Der letzte Rest vom Schützenfest,5,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Der letzte Rest vom Schützenfest,,to create
Turbund Sturmwerk,6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Turbund Sturmwerk,,to create
Lichterkette,6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Lichterkette,,to create
Adlitz,6,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Adlitz,,to create
Hirnsausen,7+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Hirnsausen,,to create
Variante (Hirnsausen),6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Variante (Hirnsausen),,to create
Direkter Währingersteig,7-,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Direkter Währingersteig,,to create
Höhlenforscherverschneidung,5+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Höhlenforscherverschneidung,,to create
Der Gerät,8+,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Der Gerät,,to create
Hedwig,7-,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Hedwig,,to create
Braune Wampe,7,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Braune Wampe,,to create
Kleine Verschneidung,4+,1-4,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Kleine Verschneidung,,to create
Käsebrot,6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Käsebrot,,to create
Wonderwall,8,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Wonderwall,,to create
Keineswegs Kosher,7,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Keineswegs Kosher,,to create
Der Schlitzer,9-/9,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Der Schlitzer,,to create
Wonderbra,9-/9,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Wonderbra,,to create
SZ Speibtour,7+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | SZ Speibtour,,to create
Fridolino,7+/8-,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Fridolino,,to create
TFW,8+,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | TFW,,to create
Slapstick,5,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Slapstick,,to create
Der Pfad des faulen Mannes,8+/9-,8-11,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Der Pfad des faulen Mannes,,to create
Müllermilch,7-,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Müllermilch,,to create
Bürgermüller,6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Bürgermüller,,to create
Sidestep,6+,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Sidestep,,to create
Hirnflitzer Ost,5,5-7,sport,UIAA,Hohe Wand,Hirnflitzstein,Österreich Ost,,,Hohe Wand | Hirnflitzstein | Hirnflitzer Ost,,to create
Drescherbandpfeiler,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Drescherbandpfeiler,,to create
Oh du mein Hüttenwirt,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Oh du mein Hüttenwirt,,to create
Obermotzer,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Obermotzer,,to create
Nenette,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Nenette,,to create
Motzer,7-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Motzer,,to create
Summerrunning,7+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Summerrunning,,to create
Motzsteiglein,3+,1-4,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Motzsteiglein,,to create
Knollverschneidung,5+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Knollverschneidung,,to create
Survival of the Fittest,10-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Survival of the Fittest,,to create
Die Kleinen und die Bösen,8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Die Kleinen und die Bösen,,to create
Knollsteiglein,4,1-4,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Knollsteiglein,,to create
HHSSA,,,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | HHSSA,,to create
My Home Is My Hittn,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | My Home Is My Hittn,,to create
Vox Humana,5,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Vox Humana,,to create
Caressing the Tiger,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Caressing the Tiger,,to create
Schicksalssymphonie,5-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Schicksalssymphonie,,to create
Top Dog,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Top Dog,,to create
Toptopdog,8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Toptopdog,,to create
Espandrillo,5+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Espandrillo,,to create
Tod und Teufel,8+,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Tod und Teufel,,to create
Escalier C,7+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Escalier C,,to create
Var (Escalier),7-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Var (Escalier),,to create
Ostwandkurti Neu,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Ostwandkurti Neu,,to create
Mandela Free,8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Mandela Free,,to create
Morbus Parkinson,9-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Morbus Parkinson,,to create
Ten Years After,8+,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Ten Years After,,to create
Malaria,8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Malaria,,to create
Mandela Dead,8+,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Mandela Dead,,to create
Fool on the Hill,9-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Fool on the Hill,,to create
Hunter,8-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Hunter,,to create
Eat the Rich,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Eat the Rich,,to create
Hootchie Gootchie Man,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Hootchie Gootchie Man,,to create
Eiertanz,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Eiertanz,,to create
Fleischwolf,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Fleischwolf,,to create
Bergsportzentrumsweg,7+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Bergsportzentrumsweg,,to create
Wild at Heart,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Wild at Heart,,to create
Verlängerung (Wild at Heart),7+/8-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Verlängerung (Wild at Heart),,to create
Namenlos (Wandeck a),7-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Namenlos (Wandeck a),,to create
Zarathustra,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Zarathustra,,to create
Luckys Streik,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Luckys Streik,,to create
Das Projekt (Wandeck),6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Das Projekt (Wandeck),,to create
Hanky Panky,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Hanky Panky,,to create
Steig der Schmiede,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Steig der Schmiede,,to create
Steig der mechanischen Werkstätte,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Steig der mechanischen Werkstätte,,to create
Fluxus,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Fluxus,,to create
Verlängerung (Fugazi),6-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Verlängerung (Fugazi),,to create
Fleischesser,5+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Fleischesser,,to create
Skiny,5,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Skiny,,to create
Herrgottschnitzerweg,5,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Herrgottschnitzerweg,,to create
Ast im Rücken,7-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Ast im Rücken,,to create
Time and Again,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Time and Again,,to create
Fugazi,6,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Fugazi,,to create
Sportsfreund,10-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Sportsfreund,,to create
Red Hot Chili Peppers,7+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Red Hot Chili Peppers,,to create
Pushmi Pullyu,8-/8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Pushmi Pullyu,,to create
Amygdala,8-/8,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Amygdala,,to create
Damisch Dynamisch,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Damisch Dynamisch,,to create
Liebesnest,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Liebesnest,,to create
Henkel Trocken,6+,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Henkel Trocken,,to create
Gran Fury,7-,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Gran Fury,,to create
Zwischenzeit,7,5-7,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Zwischenzeit,,to create
Bigtime,8-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Bigtime,,to create
Schneuzelchen,9+,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Schneuzelchen,,to create
Wohin und zurück,9-,8-11,sport,UIAA,Hohe Wand,Wandeck Klettergarten,Österreich Ost,,,Hohe Wand | Wandeck Klettergarten | Wohin und zurück,,to create
Lausbubenriss,6,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Lausbubenriss,,to create
Land der Lausbuben,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Land der Lausbuben,,to create
Zwei Bomben mehr,8-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Zwei Bomben mehr,,to create
